ward,area_km2,bus_count,auto_count,metro_count,taxi_count,Unnamed: 0,2_choose_the_mode_of_transport,3_what_is_the_distance_of_airport_from_the_ward_morning_peak,4_time_taken_to_reach_the_airport_morning_peak,5_what_is_the_cost_required_to_reach_the_airport_morning_peak,6_what_is_the_distance_of_north_railway_station_the_ward_morning_peak,7_time_taken_to_reach_north_railway_station_from_the_ward_morning_peak,8_what_is_the_cost_required_to_reach_north_railway_station_from_the_ward_morning_peak,9_what_is_the_distance_of_south_railway_station_from_the_ward_morning_peak,10_time_taken_to_reach_the_south_railway_station_from_the_ward_morning_peak,11_what_is_the_cost_required_to_reach_south_railway_station_from_the_ward_morning_peak,12_what_is_the_distance_to_any_other_railway_station_from_the_ward_morning_peak,13_time_taken_to_reach_any_other_railway_station_from_the_ward_morning_peak,14_what_is_the_cost_required_to_reach_any_other_railway_station_from_the_ward_morning_peak,15_what_is_the_distance_of_airport_from_the_ward_non_peak,16_time_taken_to_reach_the_airport_non_peak,17_what_is_the_cost_required_to_reach_the_airport_non_peak,18_what_is_the_distance_of_railway_station_north_from_the_ward_non_peak,19_time_taken_to_reach_railway_station_north_from_the_ward_non_peak,20_what_is_the_cost_required_to_reach_railway_station_north_from_the_ward_non_peak,21_what_is_the_distance_of_railway_station_south_from_the_ward_non_peak,22_time_taken_to_reach_the_north_from_south_from_the_ward_non_peak,23_what_is_the_cost_required_to_reach_railway_station_south_from_the_ward_non_peak,24_what_is_the_distance_of_railway_station_other_from_the_ward_non_peak,25_time_taken_to_reach_the_north_from_other_from_the_ward_non_peak,26_what_is_the_cost_required_to_reach_railway_station_other_from_the_ward_non_peak,27_what_is_the_distance_of_airport_from_the_ward_evening_peak,28_time_taken_to_reach_the_airport_evening_peak,29_what_is_the_cost_required_to_reach_the_airport_evening_peak,30_what_is_the_distance_of_railway_station_north_from_the_ward_evening_peak,31_time_taken_to_reach_railway_station_north_from_the_ward_evening_peak,32_what_is_the_cost_required_to_reach_railway_station_north_from_the_ward_evening_peak,33_what_is_the_distance_of_railway_station_south_from_the_ward_evening_peak,34_time_taken_to_reach_the_north_from_south_from_the_ward_evening_peak,35_what_is_the_cost_required_to_reach_railway_station_south_from_the_ward_evening_peak,36_what_is_the_distance_of_railway_station_other_from_the_ward_evening_peak,37_time_taken_to_reach_the_north_from_other_from_the_ward_evening_peak,38_what_is_the_cost_required_to_reach_railway_station_other_from_the_ward_evening_peak,39_what_is_the_distance_of_airport_from_the_ward_after_10,40_time_taken_to_reach_the_airport_after_10,41_what_is_the_cost_required_to_reach_the_airport_after_10,42_what_is_the_distance_of_railway_station_north_from_the_ward_after_10,43_time_taken_to_reach_railway_station_north_from_the_ward_after_10,44_what_is_the_cost_required_to_reach_railway_station_north_from_the_ward_after_10,45_what_is_the_distance_of_railway_station_south_from_the_ward_after_10,46_time_taken_to_reach_the_north_from_south_from_the_ward_after_10,47_what_is_the_cost_required_to_reach_railway_station_south_from_the_ward_after_10,48_what_is_the_distance_of_railway_station_other_from_the_ward_after_10,49_time_taken_to_reach_the_north_from_other_from_the_ward_after_10,50_what_is_the_cost_required_to_reach_railway_station_other_from_the_ward,area_share,population,buses_per_1000,autos_per_1000,taxis_per_1000,metros_per_1000,road_km_total,road_km_per_1000,bus_n,auto_n,taxi_n,metro_n,inv_n,intermodal_score
29,5.5459,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06756289212401778,62428,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2.4893,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030325881707985627,28021,0.0,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.04914004914004914,0.0,0.9828009828009828
15,1.4132,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01721630017664616,15908,0.0,0.0,0.0,0.063,0.0,0.0,0.0,0.0,0.0,0.11547911547911549,0.0,2.3095823095823103
16,1.4139,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01722482792227569,15916,0.0,0.0,0.0,0.063,0.0,0.0,0.0,0.0,0.0,0.11547911547911549,0.0,2.3095823095823103
14,0.6192,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0075434001340074315,6970,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.31203931203931207,0.0,6.240786240786242
5,0.841,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01024547724919291,9467,0.0,0.0,0.0,0.106,0.0,0.0,0.0,0.0,0.0,0.22113022113022113,0.0,4.422604422604423
9,0.2718,0,1,1,0,29.5,,39.5,,622.5,11.3,,149.0,8.6,,127.5,13.5,,175.475,39.5,,614.5,11.3,,149.5,8.6,,127.5,13.5,,188.0,39.5,,639.5,11.3,,160.0,8.6,,137.5,13.85,,198.5,39.5,,639.5,11.3,,149.5,8.7,,132.5,13.85,,176.5,0.003311201803009076,3060,0.0,0.327,0.0,0.327,0.0,0.0,0.0,0.5413907284768212,0.0,0.7641277641277642,0.43037974683544306,30.41416732044614
10,0.7082,0,2,1,0,25.5,,38.7,,653.5,10.35,,203.5,7.8,,122.5,13.2,,172.5,38.7,,645.0,10.35,,194.0,7.8,,112.5,13.2,,163.0,38.7,,655.0,10.35,,210.0,7.8,,137.5,13.2,,178.0,38.7,,670.0,10.35,,219.0,7.8,,157.5,13.2,,176.0,0.008627642078333437,7972,0.0,0.251,0.0,0.125,0.0,0.0,0.0,0.4155629139072848,0.0,0.2678132678132678,0.4392764857881137,18.06028849229219
11,1.2533,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015268319424986297,14108,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,0.13513513513513511,0.0,2.7027027027027026
6,0.3693,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0044989949442650915,4157,0.0,0.0,0.0,0.241,0.0,0.0,0.0,0.0,0.0,0.5528255528255528,0.0,11.056511056511056
12,1.0626,0,3,1,0,21.5,,38.5,,842.0,10.4,,154.0,8.0,,117.0,13.1,,167.5,38.5,,829.0,10.4,,144.0,8.0,,107.0,13.1,,162.5,38.5,,842.0,10.4,,164.0,8.0,,119.5,13.1,,172.5,38.5,,937.5,10.4,,172.5,8.0,,129.0,13.1,,187.5,0.012945117865627095,11961,0.0,0.251,0.0,0.084,0.0,0.0,0.0,0.4155629139072848,0.0,0.1670761670761671,0.4415584415584416,16.068366035253455
19,0.5852,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007129195346287386,6587,0.0,0.0,0.0,0.152,0.0,0.0,0.0,0.0,0.0,0.3341523341523342,0.0,6.683046683046684
13,0.6799,0,2,1,0,36.0,,39.0,,529.0,11.0,,290.0,8.8,,200.0,25.0,,240.0,32.2,,487.5,11.55,,136.5,6.5,,109.0,15.0,,230.5,26.0,,510.0,11.25,,170.0,8.9,,130.0,19.5,,152.5,39.9,,672.0,11.2,,144.5,9.05,,110.0,18.5,,153.0,0.00828287750502528,7653,0.0,0.261,0.0,0.131,0.0,0.0,0.0,0.4321192052980133,0.0,0.28255528255528256,0.4358974358974359,18.652464116040278
17,0.7325,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008923676676615705,8245,0.0,0.0,0.0,0.121,0.0,0.0,0.0,0.0,0.0,0.257985257985258,0.0,5.159705159705161
18,0.9085,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011067795577754768,10227,0.0,0.0,0.0,0.098,0.0,0.0,0.0,0.0,0.0,0.2014742014742015,0.0,4.02948402948403
21,0.8179,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009964061643418409,9207,0.0,0.0,0.0,0.109,0.0,0.0,0.0,0.0,0.0,0.2285012285012285,0.0,4.57002457002457
20,0.4964,0,1,1,0,34.5,,38.0,,652.0,11.0,,259.5,8.65,,131.5,12.5,,142.5,38.0,,630.0,11.0,,252.0,8.65,,125.5,12.5,,137.0,38.0,,642.5,11.0,,266.0,8.65,,137.0,12.5,,141.0,38.0,,645.0,11.0,,264.0,8.65,,131.5,12.5,,145.0,0.0060473899007126766,5588,0.0,0.179,0.0,0.179,0.0,0.0,0.0,0.29635761589403975,0.0,0.4004914004914005,0.4473684210526316,18.41066453823512
22,1.59,0,3,1,0,36.0,,27.0,,495.0,6.95,,86.0,7.1499999999999995,,93.5,13.5,,161.5,41.0,,90.0,12.0,,22.0,9.7,,17.0,15.0,,33.0,27.0,,495.0,6.95,,86.0,7.1499999999999995,,83.5,13.5,,161.5,41.0,,90.0,12.0,,22.0,9.7,,17.0,15.0,,33.0,0.019370165072790404,17898,0.0,0.168,0.0,0.056,0.0,0.0,0.0,0.27814569536423844,0.0,0.09828009828009829,0.6296296296296297,13.824812169183032
24,0.8161,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00994213315465676,9187,0.0,0.0,0.0,0.109,0.0,0.0,0.0,0.0,0.0,0.2285012285012285,0.0,4.57002457002457
23,0.6312,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007689590059085095,7105,0.0,0.0,0.0,0.141,0.0,0.0,0.0,0.0,0.0,0.3071253071253071,0.0,6.142506142506143
25,0.4157,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00506426265456539,4679,0.0,0.0,0.0,0.214,0.0,0.0,0.0,0.0,0.0,0.48648648648648657,0.0,9.729729729729732
26,0.3316,0,1,1,0,12.0,,36.0,,1650.0,10.0,,600.0,8.2,,650.0,,,,36.0,,1250.0,10.0,,450.0,8.2,,500.0,,,,36.0,,1850.0,10.0,,700.0,8.2,,750.0,,,,36.0,,1100.0,10.0,,400.0,8.2,,420.0,,,,0.004039714929646099,3733,0.0,0.268,0.0,0.268,0.0,0.0,0.0,0.4437086092715232,0.0,0.6191646191646192,0.4722222222222222,25.979686790945074
3,0.2099,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025571054394834627,2363,0.0,0.0,0.0,0.423,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0
2,0.3862,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004704879088749467,4347,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.5257985257985259,0.0,10.515970515970519
4,0.3774,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0045976731436925145,4248,0.0,0.0,0.0,0.235,0.0,0.0,0.0,0.0,0.0,0.538083538083538,0.0,10.76167076167076
8,0.7373,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00898215264664677,8300,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.25552825552825553,0.0,5.110565110565111
7,0.7278,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008866418955960286,8193,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.26044226044226043,0.0,5.208845208845209
28,0.588,0,4,1,0,11.0,,37.0,,1800.0,8.8,,550.0,7.5,,600.0,,,,37.0,,1300.0,8.8,,400.0,7.5,,450.0,,,,37.0,,2000.0,8.8,,650.0,7.5,,700.0,,,,37.0,,1200.0,8.8,,450.0,7.5,,350.0,,,,0.007163306328805507,6619,0.0,0.604,0.0,0.151,0.0,0.0,0.0,1.0,0.0,0.3316953316953317,0.4594594594594595,31.228501228501226
43,1.3071,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015923737589084486,14714,0.0,0.0,0.0,0.068,0.0,0.0,0.0,0.0,0.0,0.1277641277641278,0.0,2.555282555282556
58,1.0253,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012490710848510693,11541,0.0,0.0,0.0,0.087,0.0,0.0,0.0,0.0,0.0,0.17444717444717445,0.0,3.488943488943489
59,0.5559,2,1,1,0,25.5,,34.25,,665.0,20.95,,235.0,20.45,,150.0,,,,34.25,,619.5,21.65,,150.0,19.75,,120.0,,,,34.25,,783.5,21.65,,200.0,19.75,,180.0,,,,34.25,,689.5,21.65,,225.0,19.75,,195.0,,,,0.006772248279222757,6258,0.32,0.16,0.0,0.16,0.0,0.0,0.5360134003350084,0.26490066225165565,0.0,0.35380835380835385,0.49635036496350365,38.77821998423557
31,0.9678,0,1,1,0,18.5,,27.0,,400.0,5.0,,110.0,7.5,,140.0,,,,27.0,,390.0,5.0,,110.0,7.5,,140.0,,,,27.0,,445.0,5.0,,135.0,7.5,,165.0,,,,27.0,,340.0,5.0,,120.0,7.5,,155.0,,,,0.011790217457513553,10894,0.0,0.092,0.0,0.092,0.0,0.0,0.0,0.152317880794702,0.0,0.18673218673218675,0.6296296296296297,13.077297646834074
32,0.8691,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010587805323749772,9783,0.0,0.0,0.0,0.102,0.0,0.0,0.0,0.0,0.0,0.2113022113022113,0.0,4.226044226044226
67,1.4833,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018070292988974845,16697,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.10810810810810811,0.0,2.1621621621621623
74,1.1237,3,0,1,0,18.5,,27.0,,495.0,3.5,,82.5,6.0,,110.0,,,,27.0,,395.0,3.5,,57.5,6.0,,95.0,,,,27.0,,645.0,3.5,,72.5,6.0,,100.0,,,,27.0,,1000.0,3.5,,100.0,6.0,,200.0,,,,0.01368946823414753,12649,0.237,0.0,0.0,0.079,106.0,8.38,0.3969849246231156,0.0,0.0,0.1547911547911548,0.6296296296296297,25.27151637704402
73,0.9208,0,0,1,0,15.5,,26.0,,490.0,2.8,,55.0,4.9,,76.5,,,,26.0,,465.0,2.8499999999999996,,55.0,4.9,,81.5,,,,26.0,,540.0,2.8,,55.0,4.9,,86.5,,,,26.0,,445.0,2.8,,70.0,4.9,,91.5,,,,0.011217640250959372,10365,0.0,0.0,0.0,0.096,219.0,21.129,0.0,0.0,0.0,0.19656019656019658,0.6538461538461539,10.46966546966547
68,1.7334,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02111713467746848,19512,0.0,0.0,0.0,0.051,0.0,0.0,0.0,0.0,0.0,0.085995085995086,0.0,1.71990171990172
69,0.8247,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010046902600962417,9283,0.0,0.0,0.0,0.108,0.0,0.0,0.0,0.0,0.0,0.22604422604422605,0.0,4.520884520884522
66,1.3485,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016428092830602425,15180,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.12285012285012287,0.0,2.4570024570024573
62,1.2707,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015480294816348907,14304,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.1326781326781327,0.0,2.6535626535626538
36,2.1448,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02612901260888104,24143,0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.0,0.0,0.061425061425061434,0.0,1.2285012285012287
35,1.1394,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01388073338612414,12826,0.0,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.0,0.15233415233415235,0.0,3.046683046683047
37,1.6862,10,9,2,0,7.5,,17.0,,280.0,6.8,,75.0,9.3,,90.0,,,,17.0,,110.0,6.8,,75.0,9.3,,90.0,,,,17.0,,280.0,6.8,,75.0,9.3,,90.0,,,,17.0,,340.0,6.8,,137.5,9.3,,150.0,,,,0.020542120972163003,18981,0.527,0.474,0.0,0.105,0.0,0.0,0.882747068676717,0.7847682119205298,0.0,0.21867321867321868,1.0,65.37871135894365
34,1.3224,0,2,1,0,26.0,,25.0,,800.0,5.0,,100.0,8.0,,130.0,,,,25.0,,700.0,5.0,,80.0,8.0,,110.0,,,,25.0,,800.0,5.0,,150.0,7.5,,150.0,,,,25.0,,800.0,5.0,,120.0,7.5,,180.0,,,,0.016110129743558507,14886,0.0,0.134,0.0,0.067,26.0,1.747,0.0,0.2218543046357616,0.0,0.12530712530712532,0.68,13.74322859885774
33,1.0114,0,2,1,0,32.0,,23.3,,125.0,4.0,,100.0,6.4,,140.0,,,,23.3,,100.0,4.0,,120.0,6.4,,150.0,,,,23.3,,400.0,4.0,,100.0,6.4,,150.0,,,,23.3,,400.0,4.0,,100.0,6.4,,100.0,,,,0.012321374185295731,11385,0.0,0.176,0.0,0.088,0.0,0.0,0.0,0.2913907284768212,0.0,0.1769041769041769,0.7296137339055794,16.66203544667576
61,1.5446,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018817079856246574,17387,0.0,0.0,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.1031941031941032,0.0,2.063882063882064
50,0.7377,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008987025644149358,8304,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.25552825552825553,0.0,5.110565110565111
60,1.0215,4,1,1,0,7.0,,32.35,,690.0,6.65,,121.5,4.25,,67.5,,,,32.35,,540.0,6.65,,81.5,4.4,,55.0,,,,32.35,,640.0,6.65,,96.5,4.4,,80.0,,,,32.35,,600.0,6.65,,106.5,4.4,,80.0,,,,0.012444417372236099,11499,0.348,0.087,0.0,0.087,0.0,0.0,0.5829145728643216,0.14403973509933773,0.0,0.17444717444717445,0.5255023183925811,34.94134428942892
56,0.8091,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009856855698361457,9108,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.23095823095823098,0.0,4.6191646191646205
57,1.8468,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0224986294694524,20789,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.07862407862407864,0.0,1.5724815724815728
55,1.003,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012219041237741365,11290,0.0,0.0,0.0,0.089,0.0,0.0,0.0,0.0,0.0,0.17936117936117937,0.0,3.587223587223588
63,1.7134,0,3,1,0,3.5,,28.0,,410.0,3.1,,85.0,2.9,,0.0,4.4,,11.0,28.0,,71.0,3.1,,20.0,2.9,,0.0,4.4,,11.0,28.0,,70.0,3.1,,20.0,2.9,,0.0,4.4,,17.0,28.0,,44.0,3.1,,15.0,2.9,,0.0,4.4,,11.0,0.02087348480233904,19287,0.0,0.156,0.0,0.052,429.0,22.243,0.0,0.2582781456953642,0.0,0.08845208845208845,0.6071428571428571,13.006033254377625
53,1.4536,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017708472924407626,16363,0.0,0.0,0.0,0.061,0.0,0.0,0.0,0.0,0.0,0.11056511056511056,0.0,2.2113022113022116
52,1.3908,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016943412316501188,15656,0.0,0.0,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.11793611793611794,0.0,2.358722358722359
51,1.2767,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015553389778887738,14371,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.1326781326781327,0.0,2.6535626535626538
49,0.7464,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009093013339830664,8402,0.0,0.0,0.0,0.119,0.0,0.0,0.0,0.0,0.0,0.25307125307125306,0.0,5.061425061425061
54,1.1813,4,2,1,0,5.5,,29.0,,440.0,4.5,,92.5,3.3,,20.0,5.1,,14.0,29.0,,,4.5,,20.0,2.5,,10.0,5.1,,11.0,29.0,,,4.5,,20.0,2.6,,20.0,5.1,,30.0,29.0,,48.0,4.5,,14.0,2.6,,0.0,5.1,,11.0,0.014391179874520316,13297,0.301,0.15,0.0,0.075,0.0,0.0,0.5041876046901173,0.24834437086092714,0.0,0.14496314496314497,0.5862068965517241,33.895723469603375
48,1.236,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01505756228299933,13913,0.0,0.0,0.0,0.072,0.0,0.0,0.0,0.0,0.0,0.1375921375921376,0.0,2.751842751842752
47,0.6587,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008024608637388074,7415,0.0,0.0,0.0,0.135,0.0,0.0,0.0,0.0,0.0,0.2923832923832924,0.0,5.847665847665849
64,1.2069,4,1,1,0,1.5,,26.0,,335.0,1.5,,45.0,3.3,,14.0,2.0,,10.0,26.0,,70.0,1.6,,,3.3,,,2.2,,10.0,26.0,,70.0,1.5,,,3.3,,14.0,2.5,,10.0,26.0,,70.0,1.5,,0.0,3.3,,14.0,2.5,,10.0,0.014703051714685998,13586,0.294,0.074,0.0,0.074,0.0,0.0,0.4924623115577889,0.12251655629139073,0.0,0.14250614250614252,0.6538461538461539,31.53740797672376
65,1.5236,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018561247487360665,17151,0.0,0.0,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.1031941031941032,0.0,2.063882063882064
70,0.7764,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009458488152524822,8740,0.0,0.0,0.0,0.114,0.0,0.0,0.0,0.0,0.0,0.2407862407862408,0.0,4.815724815724817
71,0.8281,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010088323079734422,9322,0.0,0.0,0.0,0.107,0.0,0.0,0.0,0.0,0.0,0.2235872235872236,0.0,4.471744471744472
72,0.6159,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007503197904611075,6933,0.0,0.0,0.0,0.144,0.0,0.0,0.0,0.0,0.0,0.31449631449631454,0.0,6.289926289926291
42,1.4209,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017310105378570997,15995,0.0,0.0,0.0,0.063,0.0,0.0,0.0,0.0,0.0,0.11547911547911549,0.0,2.3095823095823103
46,2.0158,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024557470914296158,22691,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0687960687960688,0.0,1.375921375921376
41,1.051,2,3,1,0,28.0,,24.0,,390.0,5.5,,65.0,9.600000000000001,,120.0,,,,24.0,,340.0,5.5,,75.0,9.600000000000001,,120.0,,,,24.0,,395.0,5.5,,75.0,9.600000000000001,,120.0,,,,24.0,,445.0,5.5,,160.0,9.600000000000001,,200.0,,,,0.012803800938052019,11831,0.169,0.254,0.0,0.085,0.0,0.0,0.28308207705192634,0.42052980132450335,0.0,0.16953316953316955,0.7083333333333333,30.207875832563847
39,0.7897,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0096205153194859,8889,0.0,0.0,0.0,0.112,0.0,0.0,0.0,0.0,0.0,0.23587223587223588,0.0,4.717444717444718
45,1.0652,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012976792349393921,11991,0.0,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.16461916461916465,0.0,3.292383292383293
38,1.5197,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018513735761710424,17107,0.0,0.0,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.1031941031941032,0.0,2.063882063882064
40,1.0424,7,4,1,0,9.5,,27.5,,385.0,4.0,,85.0,5.75,,105.0,4.0,,70.0,27.5,,350.0,4.0,,70.0,5.75,,90.0,1.0,,70.0,27.5,,385.0,4.0,,85.0,5.75,,105.0,1.0,,70.0,27.5,,435.0,4.0,,90.0,5.75,,105.0,1.0,,70.0,0.012699031491746362,11734,0.597,0.341,0.0,0.085,0.0,0.0,1.0,0.5645695364238411,0.0,0.16953316953316955,0.6181818181818182,60.8638723009584
44,1.2947,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015772674666504234,14574,0.0,0.0,0.0,0.069,0.0,0.0,0.0,0.0,0.0,0.13022113022113024,0.0,2.604422604422605
27,0.7377,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008987025644149358,8304,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.25552825552825553,0.0,5.110565110565111
1,1.8236,4,2,1,0,13.0,,35.0,,1800.0,7.5,,550.0,7.2,,600.0,,,,35.0,,1300.0,7.5,,400.0,7.2,,450.0,,,,35.0,,2000.0,7.5,,650.0,7.2,,700.0,,,,35.0,,1200.0,7.5,,450.0,7.2,,350.0,,,,0.02221599561430225,20528,0.195,0.097,0.0,0.049,0.0,0.0,0.32663316582914576,0.16059602649006624,0.0,0.08108108108108109,0.4857142857142857,22.756011641731636
